word,happiness_rank,happiness_average,happiness_standard_deviation,twitter_rank,google_rank,nyt_rank,lyrics_rank
prom,2883,5.94,1.3763,4876.0,,,
on,4515,5.56,1.0721,13.0,16.0,10.0,14.0
mis,7718,4.88,1.0999,4517.0,,,1292.0
friendship,34,7.96,1.1241,4273.0,3098.0,3669.0,3980.0
naval,4925,5.48,1.2493,,3295.0,4436.0,
grand,533,7.06,1.3614,1685.0,1709.0,944.0,1575.0
wen,8029,4.8,1.0498,1345.0,,,
extract,5861,5.28,1.4574,,4832.0,,
harry,6055,5.24,1.2545,2313.0,3856.0,1692.0,
designers,1544,6.38,1.4831,,,3890.0,
external,4895,5.48,1.2162,,1259.0,,
screwed,9685,3.24,1.6107,4145.0,,,4908.0
pittsburgh,6533,5.14,1.3852,,,2038.0,
vital,3609,5.76,1.5592,,2732.0,2165.0,
obedience,5327,5.4,1.6162,,4840.0,,
